CustomerID,Name,Gender,Age,Income,Marital Status,Education,Spending Score,Join Date,Email,City
C001,Christine Lawrence,Female,34,68103,Widowed,PhD,47,14-Apr-2020,barronclaudia@gmail.com,Patna
C002,Kari Warren,Female,21,67468,Divorced,Master,92,03-Aug-2021,gravesbrian@hotmail.com,Mumbai
C003,Christy Ortega,Female,54,48629,Widowed,NA,82,23-Feb-2020,johnsontimothy@yahoo.com,Bhopal
C004,Amanda Cruz,Female,56,75511,Married,NA,44,11-Jan-2025,david88@hotmail.com,Chennai
C005,Tina Bauer,Male,32,61330,Widowed,Bachelor,42,08-Nov-2018,amy97@richardson-medina.com,Lucknow
C006,Abigail Mooney,Female,32,67000,Single,PhD,100,15-Mar-2025,invalid.email,Bhopal
C007,David Henderson,Male,56,76210,Married,Master,59,25-Apr-2022,annahall@yahoo.com,Hyderabad
C008,Dwayne Coffey,Female,50,36567,Single,PhD,91,27-Sep-2024,kaitlin82@hotmail.com,Patna
C009,Alexis Schmidt,Female,40,61580,Widowed,NA,75,17-Dec-2021,jameszamora@estes-welch.info,Mumbai
C010,Adam Perez,Female,40,34552,Single,Graduate,79,04-Sep-2020,ericksonkristi@benitez.net,Bangalore
C011,Victoria Edwards,Male,44,84002,Married,Graduate,NA,01-Sep-2019,vshelton@robles.org,Chennai
C012,Amy Poole,Female,59,92928,Widowed,Graduate,NA,26-Apr-2022,invalid.email,Hyderabad
C013,Steven Bryant,Female,59,36736,Married,Bachelor,69,14-Jun-2022,leahsantos@yahoo.com,Raipur
C014,Brandi Boyd,Female,49,44602,Single,Bachelor,84,05-Nov-2018,tammy23@yahoo.com,Hyderabad
C015,Billy Johnson,Female,24,48427,Married,Master,51,06-May-2020,opreston@park.com,Mumbai
C016,Catherine Doyle,Female,48,65510,Widowed,Graduate,NA,29-Jan-2020,invalid.email,Bhopal
C017,Emily Schmitt,Male,51,33748,Married,PhD,55,09-May-2020,invalid.email,Bangalore
C018,Michelle Harris,Other,43,56835,Widowed,Bachelor,70,23-Nov-2024,farmerbryan@spence.com,Patna
C019,Gerald Harrington,Other,46,98301,Widowed,PhD,NA,15-Nov-2024,gkennedy@stewart.com,Patna
C020,Brandon Gonzalez,Female,57,60218,Single,NA,62,12-Aug-2018,dalekelley@gmail.com,Lucknow
C021,Thomas Padilla DDS,Male,48,69557,Divorced,Bachelor,89,11-Feb-2021,iwilson@gmail.com,Bhopal
C022,Jeffrey Serrano,Female,44,NA,Single,Bachelor,98,10-Aug-2022,markclark@mcdaniel.com,Bangalore
C023,George Wade,Male,43,77650,Widowed,Graduate,73,13-Feb-2024,rosskenneth@hotmail.com,Chennai
C024,Jennifer Barker,Female,21,75524,Divorced,Graduate,87,03-Mar-2019,meagangomez@gmail.com,Kolkata
C025,Robert Robles,Male,25,44885,Single,Graduate,76,05-Jun-2024,reillylori@yahoo.com,Patna
C026,Sharon Mejia,Other,34,76722,Widowed,Master,75,20-Dec-2019,rwerner@parks-howard.org,Delhi
